question,document
"I just found this course — am I still able to join, or is it too late now?",74eb249bbf
Can I start the course after it has already begun?,74eb249bbf
"If I join late, can I still get a certificate somehow?",74eb249bbf
What do I need to do to be eligible for the certificate if I’m starting now?,74eb249bbf
Is there still a deadline for project submission if I want the certificate?,74eb249bbf
"Do I actually need to wait for a confirmation email after signing up for LLM Zoomcamp, or can I just start already?",977bf7786c
"If I registered for the course, does that mean I’m officially accepted even without any email?",977bf7786c
Can I begin watching the lessons and sending homework before the registration form closes?,977bf7786c
"Is there some kind of approved student list for the course, or is registration just for counting interest?",977bf7786c
What’s the point of registering for LLM Zoomcamp if it isn’t used to verify who can join?,977bf7786c
Where can I join the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
"Do students get the Zoom link for the live sessions, or is it only for the teaching team?",489dd1c9d9
"If I can’t use Zoom for office hours, what’s the official way to watch and ask questions?",489dd1c9d9
Will the livestream link for the workshop be shared somewhere before it starts?,489dd1c9d9
"Should I post my questions in the live chat during Office Hours, or is there a better place to send them?",489dd1c9d9
Where should I begin if I just joined the LLM Zoomcamp and want to follow the right course materials?,04919992b3
"Can I start the course anytime, and where do I check the deadlines for each week?",04919992b3
What does a normal weekly routine look like for this course from watching videos to submitting homework?,04919992b3
"Do I need to follow a fixed start date, or can I go through the lessons and notebooks on my own pace?",04919992b3
"How is the homework usually related to the lesson materials, and where do I find the instructions?",04919992b3
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
Can I change the name that shows up on the leaderboard to my GitHub or Slack username?,c2903069a0
What should I put in the profile fields so my certificate doesn’t use the default random name?,c2903069a0
Can I do the course on my own schedule and still get a certificate at the end?,69d122f12e
"If I go through the course self-paced, is there any way to earn the certificate later?",69d122f12e
Do you give certificates for students who don’t join a live cohort?,69d122f12e
Why isn’t a certificate available in the self-paced version of the course?,69d122f12e
Is peer reviewing required in order to get the course certificate?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
"Is homework actually required to pass the course, or just the Capstone project?",9f689c185f
What do I need to complete in order to receive the certificate?,9f689c185f
"If homework isn’t mandatory, does it still affect anything in the course?",9f689c185f
